[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 4.496 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.159 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.299 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 4.950 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 5.432 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 4.251 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.098 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.042 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.088 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.009 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 2.809 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.022 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 2.944 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 5.143 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 2.953 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.112 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.075 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.237 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
